SampleID,S884 ,S865 ,S847 ,S578 ,S573 ,S402 ,S339 ,S329 ,S2971 ,S2967 ,S2927 ,S2883 ,S2846 ,S2817 ,S2726 ,S2680 ,S2663 ,S2632 ,S2627 ,S2608 ,S2601 ,S2600 ,S2593 ,S2527 ,S2468 ,S2452 ,S2429 ,S2345 ,S2289 ,S2270 ,S2269 ,S2221 ,S2216 ,S2148 ,S2146 ,S201 ,S1972 ,S1969 ,S1922 ,S1914 ,S179 ,S1708 ,S1531 ,S134 ,S117 
S2593 ,0.415273361,0.420841905,0.620038448,0.299266034,0.683181181,0.522327892,0.635583821,0.522167692,0.605743094,0.504698046,0.285840544,0.504123432,0.271789234,0.535288873,0.272135026,0.462713383,0.570916394,0.415810567,0.544884176,0.554132362,0.573600161,0.326394069,0,0.413493788,0.619295392,0.426217952,0.572265319,0.686933314,0.319421941,0.576602498,0.523607006,0.496697328,0.630244702,0.477697112,0.556737826,0.484969498,0.686637628,0.578439548,0.439095567,0.571044273,0.432561591,0.605131567,0.215111662,0.462595226,0.389812248
S2527 ,0.161314228,0.270796722,0.281344589,0.398343026,0.389608373,0.223743683,0.327154223,0.216826234,0.279627863,0.22578982,0.373107631,0.226178122,0.432114266,0.665052616,0.492636246,0.168822834,0.232098536,0.23733736,0.244743144,0.25670797,0.611021457,0.519407218,0.413493788,0,0.290679708,0.178823466,0.258405376,0.367586188,0.502572502,0.320776442,0.186140887,0.208799319,0.321647694,0.240625678,0.23734554,0.184777505,0.422360622,0.29203012,0.243809706,0.266043926,0.185728751,0.294950098,0.344638345,0.168819463,0.181276612
S2468 ,0.320826222,0.414785526,0.11268947,0.578610722,0.225534917,0.172073426,0.178114911,0.164010949,0.089435368,0.346007975,0.538752102,0.310187907,0.629637056,0.834585874,0.659095155,0.244456514,0.197780297,0.429683642,0.260487204,0.247632023,0.731162797,0.723061628,0.619295392,0.290679708,0,0.33061253,0.167935986,0.19598073,0.720286648,0.303517189,0.212793123,0.297465382,0.152004409,0.363816125,0.143722411,0.21345321,0.270549772,0.37594847,0.374606648,0.148749194,0.279739243,0.237285374,0.520657572,0.302313006,0.316446805
S2452 ,0.136922507,0.233380483,0.350013729,0.388793094,0.438669249,0.276259892,0.367393233,0.284656294,0.31004179,0.27011933,0.375509134,0.272905058,0.459208962,0.712122683,0.471611256,0.23325954,0.290364772,0.265905149,0.281123395,0.288016178,0.612738094,0.517564573,0.426217952,0.178823466,0.33061253,0,0.301115504,0.410812803,0.543195981,0.371860128,0.215541943,0.267644124,0.344627569,0.262732359,0.317593879,0.233306658,0.473175021,0.330743413,0.206157399,0.313720116,0.252454941,0.332703842,0.368526538,0.193875575,0.214830454
S2429 ,0.28065343,0.378646972,0.202553695,0.551495165,0.312502871,0.186745613,0.248193307,0.138480291,0.140429601,0.277633557,0.488638114,0.20084279,0.576804527,0.780247567,0.608192012,0.19928951,0.191663621,0.364447935,0.175191452,0.151393517,0.65470732,0.646562597,0.572265319,0.258405376,0.167935986,0.301115504,0,0.287665882,0.663723976,0.281988788,0.209271334,0.259168019,0.205557814,0.327619435,0.198915814,0.20039527,0.350865356,0.324887767,0.302019487,0.162490185,0.2528966,0.144735999,0.469577069,0.274915958,0.281660404
S2345 ,0.417090658,0.48459824,0.191628276,0.634724172,0.140702178,0.254363276,0.150922095,0.265364417,0.206453584,0.396967577,0.595275574,0.404464395,0.640527757,0.897951399,0.66865527,0.333390617,0.291166226,0.439377905,0.337244091,0.339195883,0.784304282,0.802390217,0.686933314,0.367586188,0.19598073,0.410812803,0.287665882,0,0.791478462,0.277858686,0.323593892,0.381482729,0.222273655,0.349771557,0.230524502,0.309413086,0.193245403,0.431642087,0.468025727,0.276755503,0.381050699,0.275101196,0.60057448,0.39292833,0.422749918
S2289 ,0.517823465,0.534324575,0.713312705,0.426553803,0.765871342,0.645293291,0.713920686,0.622363875,0.705562235,0.588186897,0.423564792,0.615391208,0.376775826,0.503077199,0.395882203,0.566845488,0.622829375,0.441096837,0.616804012,0.676364886,0.566364197,0.411162581,0.319421941,0.502572502,0.720286648,0.543195981,0.663723976,0.791478462,0,0.662512597,0.609416184,0.565588423,0.72356612,0.571180365,0.674810782,0.595529488,0.771572806,0.655382804,0.533961818,0.672617486,0.53753905,0.680857209,0.357504624,0.565097993,0.521076132
S2270 ,0.359921673,0.413267883,0.305253103,0.538492877,0.19997806,0.255639294,0.195124302,0.249320485,0.291712993,0.322803393,0.508202848,0.324531919,0.492660527,0.777134395,0.519264449,0.280347914,0.300888462,0.350790894,0.263762729,0.300047506,0.642215423,0.687038611,0.576602498,0.320776442,0.303517189,0.371860128,0.281988788,0.277858686,0.662512597,0,0.272957488,0.304795058,0.338610397,0.213892698,0.288646085,0.255814033,0.19884259,0.355991851,0.39128152,0.286556888,0.316664171,0.265718707,0.503496401,0.325673553,0.327170989
S2269 ,0.197681875,0.288777658,0.237661509,0.472638869,0.335318994,0.167156915,0.239713869,0.176447065,0.21519282,0.229825457,0.442604022,0.23787239,0.509974208,0.732697836,0.558698323,0.154142519,0.172787247,0.32807806,0.194069918,0.224596978,0.641456522,0.606156178,0.523607006,0.186140887,0.212793123,0.215541943,0.209271334,0.323593892,0.609416184,0.272957488,0,0.193864956,0.247576963,0.268209364,0.224329724,0.134038977,0.371528006,0.307367111,0.269535175,0.217466193,0.179618865,0.240103294,0.415944526,0.181988518,0.235842791
S2221 ,0.241779894,0.31328599,0.288313421,0.485548808,0.387902983,0.269215657,0.311506819,0.233950112,0.284660418,0.306904593,0.45028714,0.290016017,0.506533533,0.688755025,0.552291076,0.223668046,0.217393594,0.324690545,0.247262293,0.270731684,0.600717477,0.596849174,0.496697328,0.208799319,0.297465382,0.267644124,0.259168019,0.381482729,0.565588423,0.304795058,0.193864956,0,0.245950872,0.308588335,0.260252564,0.232223753,0.413867291,0.346195491,0.329199338,0.266127515,0.223436652,0.294832003,0.413076333,0.247654701,0.283575541
